,link,Name,Subtitle,Price,Sale price
0,https://www.nike.com/t/dunk-low-retro-mens-shoes-njHwD3/DV0833-800,Nike Dunk Low Retro,Men's Shoes,$115,$91.97
1,https://www.nike.com/t/air-max-plus-drift-mens-shoes-2Whgpp/FD4290-007,Nike Air Max Plus Drift,Men's Shoes,$185,$157.97
2,https://www.nike.com/t/mens-dri-fit-fitness-tank-lgzC9s/FV8380-077,Nike,Men's Dri-FIT Fitness Tank,$35,$28.97
3,https://www.nike.com/t/form-mens-dri-fit-7-unlined-fitness-shorts-Wk8p4M/FN3992-010,Nike Form,"Men's Dri-FIT 7"" Unlined Fitness Shorts",$50,$35.97
4,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/AH6789-120,Nike Air Max 270,Women's Shoes,$160,$136.97
5,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/HF5064-100,Nike Air Force 1 Shadow,Women's Shoes,$135,$114.97
6,https://www.nike.com/t/swoosh-fly-womens-dri-fit-oversized-1-4-zip-french-terry-basketball-top-G2L1ND/FN8473-509,Nike Swoosh Fly,Women's Dri-FIT Oversized 1/4-Zip French Terry Basketball Top,$100,$70.97
7,https://www.nike.com/t/swoosh-fly-womens-french-terry-basketball-shorts-5KBPGH/FN0148-511,Nike Swoosh Fly,Women's French Terry Basketball Shorts,$60,$36.97
8,https://www.nike.com/t/air-max-90-ltr-big-kids-shoes-S1w7pf/CD6864-128,Nike Air Max 90 LTR,Big Kids’ Shoes,$100,$90.97
9,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-Wv40TF/DA4086-116,Nike Blazer Mid '77,Big Kids' Shoes,$85,$72.97
10,https://www.nike.com/t/sportswear-big-kids-t-shirt-2xdNrM/FV5350-133,Nike Sportswear,Big Kids' T-Shirt,$30,$20.97
11,https://www.nike.com/t/sportswear-club-fleece-big-kids-joggers-LdDNcB/FD3008-819,Nike Sportswear Club Fleece,Big Kids' Joggers,$45,$38.97
12,https://www.nike.com/t/indy-girls-sports-bra-CmD0HD/FQ1255-515,Nike Indy,Girls' Sports Bra,$38,$29.97
13,https://www.nike.com/t/sportswear-big-kids-girls-woven-pants-HkhvR1/FN8659-515,Nike Sportswear,Big Kids' (Girls') Woven Pants,$70,$41.97
14,https://www.nike.com/t/apex-kids-futura-bucket-hat-kqqPHm/FB5648-515,Nike Apex,Kids' Futura Bucket Hat,$26,$22.97
15,https://www.nike.com/t/flip-ascent-kids-blue-light-glasses-B74c1k/FB9737-900,Nike Flip Ascent,Kids' Blue Light Glasses,$69,$34.97
16,https://www.nike.com/t/air-vapormax-2023-flyknit-mens-shoes-vSm5p2/DV1678-010,Nike Air VaporMax 2023 Flyknit,Men's Shoes,$210,$178.97
17,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-100,Nike Air Max 2017,Men's Shoes,$190,$149.97
18,https://www.nike.com/t/trail-solar-chase-mens-dri-fit-short-sleeve-running-top-S3ZprH/DV9305-511,Nike Trail Solar Chase,Men's Dri-FIT Short-Sleeve Running Top,$65,$45.97
19,https://www.nike.com/t/club-mens-woven-flow-shorts-vw2WpQ/FN3307-503,Nike Club,Men's Woven Flow Shorts,$50,$35.97
20,https://www.nike.com/t/sportswear-rpm-tote-26l-w6vz58/FJ0439-512,Nike Sportswear,RPM Tote (26L),$90,$76.97
21,https://www.nike.com/t/nv07-sunglasses-MZFFT1/FN0303-508,Nike NV07,Sunglasses,$100,$80.97
22,https://www.nike.com/t/dunk-low-premium-next-nature-womens-shoes-0kZvx6/FN6345-100,Nike Dunk Low Premium Next Nature,Women's Shoes,$120,$102.97
23,https://www.nike.com/t/free-metcon-5-womens-workout-shoes-h4Zl5h/DV3950-105,Nike Free Metcon 5,Women's Workout Shoes,$120,$102.97
24,https://www.nike.com/t/sportswear-phoenix-fleece-womens-oversized-crew-neck-logo-sweatshirt-X61fmT/FN3654-051,Nike Sportswear Phoenix Fleece,Women's Oversized Crew-Neck Logo Sweatshirt,$75,$63.97
25,https://www.nike.com/t/sportswear-phoenix-fleece-womens-loose-high-waisted-2-logo-shorts-fL9LK7/FN2821-051,Nike Sportswear Phoenix Fleece,"Women's Loose High-Waisted 2"" Logo Shorts",$60,$51.97
26,https://www.nike.com/t/air-max-1-big-kids-shoes-LZz4tk/HF4788-474,Nike Air Max 1,Big Kids' Shoes,$110,$99.97
27,https://www.nike.com/t/dunk-low-big-kids-shoes-fRhdtf/HF4794-345,Nike Dunk Low,Big Kids' Shoes,$90,$80.97
28,https://www.nike.com/t/acg-icon-fleece-big-kids-pullover-hoodie-2w35bJ/FB4343-655,Nike ACG Icon Fleece,Big Kids' Pullover Hoodie,$85,$49.97
29,https://www.nike.com/t/sb-big-kids-chino-skate-shorts-w5Xpv8/FN9217-440,Nike SB,Big Kids' Chino Skate Shorts,$50,$34.97
30,https://www.nike.com/t/dunk-low-retro-mens-shoes-76KnBL/DV0831-109,Nike Dunk Low Retro,Men's Shoes,$115,$91.97
